                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4877,                 5.8357,                 4.3183,                0.00038,                0.08824,                0.00024,                  6e-05,                  4.489,                 5.7288,                 4.1673,                0.00052,                0.00052,                0.00052
                      2,                 4.0344,                 4.9531,                 3.9259,                0.00024,                0.05882,                0.00018,                  5e-05,                  4.578,                 5.0936,                 4.2671,               0.001018,               0.001018,               0.001018
                      3,                 3.5395,                 3.9146,                 3.3949,                0.00051,                0.04412,                0.00033,                  8e-05,                 4.7051,                 4.9623,                 4.4866,              0.0014733,              0.0014733,              0.0014733
                      4,                 3.1493,                 3.2178,                 3.0092,                0.18658,                0.07353,                0.04932,                0.01266,                 3.2956,                 3.8173,                 3.4353,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.9394,                 3.1195,                 2.8331,                0.01132,                0.08824,                0.00817,                0.00223,                 3.1612,                 5.4603,                 5.0302,              0.0017624,              0.0017624,              0.0017624
                      6,                 2.8736,                 2.9366,                 2.8375,                0.12361,                0.14706,                 0.0443,                0.01273,                 3.1544,                 3.5537,                 3.8473,              0.0016832,              0.0016832,              0.0016832
                      7,                 2.7832,                 2.7187,                 2.6457,                0.21578,                0.24283,                0.15362,                0.04342,                 2.5741,                 3.0279,                 2.8495,               0.001604,               0.001604,               0.001604
                      8,                 2.7858,                 2.6439,                 2.6008,                0.38897,                0.26471,                0.18989,                0.05092,                 2.6998,                 2.6513,                 2.9009,              0.0015248,              0.0015248,              0.0015248
                      9,                 2.6012,                 2.5338,                  2.549,                0.28359,                0.22122,                0.16806,                0.05078,                 2.5909,                  2.602,                 2.6856,              0.0014456,              0.0014456,              0.0014456
                     10,                 2.5337,                 2.4278,                 2.4247,                0.31808,                0.33824,                 0.2567,                0.07595,                 2.4067,                 2.5299,                 2.4937,              0.0013664,              0.0013664,              0.0013664
                     11,                 2.4834,                 2.2108,                 2.3824,                0.42685,                0.43812,                0.34687,                0.11708,                 2.3802,                  2.255,                 2.4851,              0.0012872,              0.0012872,              0.0012872
                     12,                 2.3702,                   2.04,                 2.2795,                0.45277,                0.42647,                0.37824,                0.12838,                 2.3949,                 2.3041,                 2.5495,               0.001208,               0.001208,               0.001208
                     13,                 2.3221,                 1.9946,                 2.2541,                  0.648,                0.48529,                0.47388,                0.16694,                 2.3026,                   2.02,                 2.4628,              0.0011288,              0.0011288,              0.0011288
                     14,                 2.2945,                 2.0238,                 2.3001,                0.45229,                0.22059,                0.19829,                0.06365,                 2.3157,                  2.766,                 2.5008,              0.0010496,              0.0010496,              0.0010496
                     15,                 2.2223,                 1.8708,                  2.151,                0.55952,                0.50441,                0.45561,                 0.1838,                 2.1536,                 2.1093,                 2.3358,              0.0009704,              0.0009704,              0.0009704
                     16,                  2.149,                 1.9789,                 2.1967,                0.38158,                0.36765,                0.34574,                0.12993,                 2.1857,                 2.1996,                 2.3739,              0.0008912,              0.0008912,              0.0008912
                     17,                 2.0649,                 1.7981,                 2.1612,                0.64802,                0.54154,                0.54219,                0.20679,                 2.1442,                  1.925,                 2.3121,               0.000812,               0.000812,               0.000812
                     18,                 2.0483,                  1.788,                 2.1289,                0.64685,                0.52941,                0.53336,                0.19718,                 2.1578,                 1.9309,                 2.3269,              0.0007328,              0.0007328,              0.0007328
                     19,                 2.0455,                 1.7221,                 2.1124,                0.72978,                0.55882,                0.61332,                0.26089,                 2.0335,                 1.7767,                 2.1999,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.9853,                 1.6171,                 2.0814,                0.71554,                0.54412,                0.64551,                0.27528,                 2.0087,                 1.8598,                 2.2059,              0.0005744,              0.0005744,              0.0005744
                     21,                 2.0084,                 1.6778,                 2.0966,                0.61649,                0.47059,                 0.5228,                0.20611,                 2.0268,                 1.8473,                 2.2058,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.9261,                 1.5777,                 2.0137,                 0.7379,                0.52941,                0.62412,                0.27399,                  1.942,                 1.6916,                 2.1723,               0.000416,               0.000416,               0.000416
                     23,                 1.8719,                 1.5058,                 1.9862,                0.69848,                0.64706,                 0.6449,                0.27301,                 1.9959,                 1.6326,                 2.1617,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.8689,                 1.5413,                 1.9904,                0.68328,                0.63235,                0.69601,                0.32017,                 1.9522,                 1.6001,                 2.1458,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.8108,                 1.4883,                 1.9745,                0.76856,                0.51471,                0.66545,                0.31871,                 1.9074,                 1.5687,                 2.1018,              0.0001784,              0.0001784,              0.0001784
